timestamp_optimized,arm_order,arm1,arm2,arm3,timestamp_measured,power_dbm
2026-06-11T07:05:28+02:00,HQQ,141,143,67,2026-06-11T07:05:33+02:00,-26.4513
2026-06-11T07:10:35+02:00,QHQ,143,154,87,2026-06-11T07:10:40+02:00,-30.5841
2026-06-11T07:15:33+02:00,HQQ,154,6,154,2026-06-11T07:15:38+02:00,-25.3624
2026-06-11T07:20:30+02:00,QHQ,71,123,82,2026-06-11T07:20:35+02:00,-25.0147
2026-06-11T07:25:37+02:00,HQQ,140,154,93,2026-06-11T07:25:42+02:00,-30.7201
2026-06-11T07:30:39+02:00,QHQ,154,24,7,2026-06-11T07:30:44+02:00,-19.5524
2026-06-11T07:35:31+02:00,HQQ,119,101,145,2026-06-11T07:35:36+02:00,-30.4056
2026-06-11T07:40:32+02:00,QHQ,0,154,154,2026-06-11T07:40:37+02:00,-22.9283
2026-06-11T07:45:37+02:00,HQQ,138,154,99,2026-06-11T07:45:42+02:00,-30.2548
2026-06-11T07:50:30+02:00,QHQ,36,51,107,2026-06-11T07:50:35+02:00,-31.4268
2026-06-11T07:55:28+02:00,HQQ,76,85,136,2026-06-11T07:55:33+02:00,-28.0779
2026-06-11T08:00:38+02:00,QHQ,154,30,20,2026-06-11T08:00:43+02:00,-18.0075
2026-06-11T08:05:29+02:00,HQQ,53,113,94,2026-06-11T08:05:34+02:00,-30.7509
2026-06-11T08:10:38+02:00,QHQ,45,1,32,2026-06-11T08:10:43+02:00,-20.5049
2026-06-11T08:15:35+02:00,HQQ,138,154,104,2026-06-11T08:15:40+02:00,-30.2825
2026-06-11T08:20:30+02:00,QHQ,38,58,117,2026-06-11T08:20:35+02:00,-28.5611
2026-06-11T08:25:39+02:00,HQQ,139,153,105,2026-06-11T08:25:44+02:00,-27.7117
2026-06-11T08:30:38+02:00,QHQ,154,32,18,2026-06-11T08:30:43+02:00,-19.4159
2026-06-11T08:35:36+02:00,HQQ,154,31,15,2026-06-11T08:35:41+02:00,-22.0699
2026-06-11T08:40:33+02:00,QHQ,0,154,154,2026-06-11T08:40:38+02:00,-14.7358
2026-06-11T08:45:29+02:00,HQQ,12,79,85,2026-06-11T08:45:34+02:00,-28.9337
2026-06-11T08:50:32+02:00,QHQ,45,66,126,2026-06-11T08:50:37+02:00,-28.4642
2026-06-11T08:55:30+02:00,HQQ,114,140,100,2026-06-11T08:55:35+02:00,-29.5296
2026-06-11T09:00:30+02:00,QHQ,37,59,121,2026-06-11T09:00:35+02:00,-30.0693
2026-06-11T09:05:32+02:00,HQQ,56,7,32,2026-06-11T09:05:37+02:00,-19.9865
2026-06-11T09:10:42+02:00,QHQ,137,154,109,2026-06-11T09:10:47+02:00,-30.8486
2026-06-11T09:15:35+02:00,HQQ,138,154,110,2026-06-11T09:15:40+02:00,-31.084
2026-06-11T09:20:33+02:00,QHQ,154,128,154,2026-06-11T09:20:38+02:00,-29.3777
2026-06-11T09:25:38+02:00,HQQ,154,34,19,2026-06-11T09:25:43+02:00,-27.7117
2026-06-11T09:30:42+02:00,QHQ,138,153,115,2026-06-11T09:30:47+02:00,-29.6779
2026-06-11T09:35:30+02:00,HQQ,32,97,106,2026-06-11T09:35:35+02:00,-28.7373
2026-06-11T09:40:40+02:00,QHQ,129,121,154,2026-06-11T09:40:45+02:00,-28.2244
2026-06-11T09:45:32+02:00,HQQ,69,94,145,2026-06-11T09:45:37+02:00,-28.026
2026-06-11T09:50:36+02:00,QHQ,149,154,125,2026-06-11T09:50:41+02:00,-27.5349
2026-06-11T09:55:30+02:00,HQQ,30,31,116,2026-06-11T09:55:35+02:00,-26.0655
2026-06-11T10:00:32+02:00,QHQ,149,37,12,2026-06-11T10:00:37+02:00,-31.3198
